CO 	 N	Idle
41 	 1	80.12
64 	 2	64.05
82 	 3	53.52
96 	 4	47.84
111 	 5	39.56
122 	 6	35.51
130 	 7	30.26
131 	 8	27.45
137 	 9	24.52
144 	 10	21.64
148 	 11	18.56
150 	 12	16.55
170 	 13	7.30
164 	 14	9.80
173 	 15	9.00
172 	 16	6.91
182 	 17	1.60
182 	 18	1.00
185 	 19	0.40
185 	 20	0.80
182 	 21	0.60
187 	 22	0.70
190 	 23	0.10
178 	 24	1.20
178 	 25	0.60
188 	 26	0.10
187 	 27	0.10
178 	 28	0.10
178 	 29	0.10
181 	 30	0.20
161 	 31	0.00
178 	 32	0.10
175 	 33	0.30
175 	 34	0.00
176 	 35	0.10
178 	 36	0.20
181 	 37	0.10
155 	 38	0.10
163 	 39	0.30
160 	 40	0.30
165 	 41	0.20
168 	 42	0.40
172 	 43	0.20
175 	 44	0.10
169 	 45	0.20
151 	 46	0.20
162 	 47	0.30
167 	 48	0.10
166 	 49	0.10
157 	 50	0.10
